phase	case	exit	started	ended	duration_s
dense	0.1b_p512_d128	0	2026-07-20T23:52:31+08:00	2026-07-20T23:52:50+08:00	19
dense	0.4b_decode_alignment	0	2026-07-21T00:16:28+08:00	2026-07-21T00:16:53+08:00	25
dense	0.4b_fixed_decode	0	2026-07-21T00:54:51+08:00	2026-07-21T00:57:29+08:00	158
dense	0.4b_p128_d128	0	2026-07-20T23:56:26+08:00	2026-07-20T23:56:48+08:00	22
dense	0.4b_p2048_d128	0	2026-07-20T23:57:12+08:00	2026-07-20T23:57:40+08:00	28
dense	0.4b_p512_d128	0	2026-07-20T23:56:48+08:00	2026-07-20T23:57:12+08:00	24
dense	1.5b_decode_alignment	0	2026-07-21T00:20:25+08:00	2026-07-21T00:20:55+08:00	30
dense	1.5b_fixed_decode	0	2026-07-21T00:57:29+08:00	2026-07-21T01:00:25+08:00	176
dense	1.5b_p128_d128	0	2026-07-21T00:07:24+08:00	2026-07-21T00:07:51+08:00	27
dense	1.5b_p2048_d128	0	2026-07-21T00:08:22+08:00	2026-07-21T00:09:08+08:00	46
dense	1.5b_p512_d128	0	2026-07-21T00:07:51+08:00	2026-07-21T00:08:22+08:00	31
dense	13.3b-g1g_fixed_decode	0	2026-07-21T00:40:25+08:00	2026-07-21T00:41:10+08:00	45
dense	13.3b-g1g_p128_d128	0	2026-07-21T00:38:18+08:00	2026-07-21T00:39:03+08:00	45
dense	13.3b-g1g_p2048_d128	0	2026-07-21T00:39:43+08:00	2026-07-21T00:40:25+08:00	42
dense	13.3b-g1g_p512_d128	0	2026-07-21T00:39:03+08:00	2026-07-21T00:39:43+08:00	40
dense	13.3b-g1h_fixed_decode	0	2026-07-21T00:43:15+08:00	2026-07-21T00:44:02+08:00	47
dense	13.3b-g1h_p128_d128	0	2026-07-21T00:41:10+08:00	2026-07-21T00:41:54+08:00	44
dense	13.3b-g1h_p2048_d128	0	2026-07-21T00:42:33+08:00	2026-07-21T00:43:15+08:00	42
dense	13.3b-g1h_p512_d128	0	2026-07-21T00:41:54+08:00	2026-07-21T00:42:33+08:00	39
dense	2.9b_decode_alignment	0	2026-07-21T00:32:28+08:00	2026-07-21T00:33:07+08:00	39
dense	2.9b_fixed_decode	0	2026-07-21T01:02:42+08:00	2026-07-21T01:06:47+08:00	245
dense	2.9b_p128_d128	0	2026-07-21T01:00:25+08:00	2026-07-21T01:01:00+08:00	35
dense	2.9b_p2048_d128	0	2026-07-21T01:01:40+08:00	2026-07-21T01:02:42+08:00	62
dense	2.9b_p512_d128	0	2026-07-21T01:01:00+08:00	2026-07-21T01:01:40+08:00	40
dense	7.2b_fixed_decode	0	2026-07-21T00:36:09+08:00	2026-07-21T00:38:18+08:00	129
dense	7.2b_p128_d128	0	2026-07-21T01:06:47+08:00	2026-07-21T01:07:40+08:00	53
dense	7.2b_p2048_d128	0	2026-07-21T01:07:40+08:00	2026-07-21T01:09:20+08:00	100
dense	7.2b_p512_d128	0	2026-07-21T00:34:01+08:00	2026-07-21T00:35:04+08:00	63
distributed	0.1b_zero2_zero3	0	2026-07-21T07:27:27+08:00	2026-07-21T07:28:09+08:00	42
distributed	0.1b_zero2_zero3_resume	0	2026-07-21T07:28:09+08:00	2026-07-21T07:29:05+08:00	56
distributed	0.4b_zero2_zero3	0	2026-07-21T07:29:05+08:00	2026-07-21T07:29:48+08:00	43
distributed	0.4b_zero2_zero3_resume	0	2026-07-21T07:29:48+08:00	2026-07-21T07:30:50+08:00	62
distributed	1.5b_zero2_zero3	0	2026-07-21T07:30:50+08:00	2026-07-21T07:31:33+08:00	43
distributed	1.5b_zero2_zero3_resume	0	2026-07-21T07:31:33+08:00	2026-07-21T07:32:43+08:00	69
distributed	2.9b_zero2_zero3	0	2026-07-21T07:32:43+08:00	2026-07-21T07:33:32+08:00	49
distributed	2.9b_zero2_zero3_resume	0	2026-07-21T07:33:32+08:00	2026-07-21T07:35:04+08:00	92
distributed	7.2b_zero2_zero3	0	2026-07-21T07:46:01+08:00	2026-07-21T07:47:16+08:00	75
distributed	7.2b_zero2_zero3_resume	0	2026-07-21T07:47:16+08:00	2026-07-21T07:49:54+08:00	158
distributed	device_map_13.3b	0	2026-07-21T08:23:49+08:00	2026-07-21T08:24:15+08:00	26
provenance	model_hashes	0	2026-07-21T01:45:40+08:00	2026-07-21T02:04:56+08:00	1156
quant	mm4_1.5b_memory	0	2026-07-21T05:30:00+08:00	2026-07-21T05:37:28+08:00	448
quant	mm4_13.3b_b1_p128_d128	0	2026-07-21T06:02:09+08:00	2026-07-21T06:03:29+08:00	80
quant	mm4_2.9b_speed	0	2026-07-21T05:26:13+08:00	2026-07-21T05:39:41+08:00	808
quant	mm4_7.2b_memory	0	2026-07-21T05:58:00+08:00	2026-07-21T06:03:00+08:00	300
quant	mm4_small_memory	0	2026-07-21T05:20:29+08:00	2026-07-21T05:24:14+08:00	225
quant	mm8_0.1b_b1_p128_d128	0	2026-07-21T05:46:08+08:00	2026-07-21T05:46:23+08:00	15
